"Date","RZMRE","RZYE","RQMCL","RQYL","RQYE","RZRQYE"
"2016-01-04","27,746,141,351","674,250,015,171","14,767,084","378,549,763","1,930,428,580","676,180,443,751"
"2016-01-05","32,738,126,135","662,424,991,011","31,410,622","386,320,746","1,965,327,469","664,390,318,480"
"2016-01-06","31,039,624,222","659,659,894,611","28,591,279","397,866,642","2,025,469,549","661,685,364,160"
"2016-01-07","8,743,686,393","653,619,923,734","4,980,100","389,379,514","1,865,346,141","655,485,269,875"
"2016-01-08","32,514,181,166","640,940,954,450","20,464,535","366,022,477","1,797,468,141","642,738,422,591"
"2016-01-11","28,150,988,168","622,258,836,431","30,254,704","378,464,622","1,722,772,476","623,981,608,907"
"2016-01-12","21,769,602,015","610,486,743,606","20,604,486","361,694,462","1,687,383,077","612,174,126,683"
"2016-01-13","19,525,346,812","600,445,497,232","22,850,084","367,700,213","1,671,474,368","602,116,971,600"
"2016-01-14","22,803,175,759","594,163,365,933","18,888,607","352,386,407","1,651,483,595","595,814,849,528"
"2016-01-15","20,242,663,855","585,478,803,003","28,249,261","360,131,694","1,613,659,931","587,092,462,934"
"2016-01-18","19,081,125,394","584,010,365,373","23,324,293","368,936,025","1,642,374,141","585,652,739,514"
"2016-01-19","25,220,485,677","583,401,330,073","39,923,341","388,529,453","1,761,695,979","585,163,026,052"
"2016-01-20","25,779,016,479","581,973,101,059","42,551,370","389,257,526","1,710,066,593","583,683,167,652"
"2016-01-21","22,361,174,852","577,982,711,229","38,134,401","399,730,250","1,757,858,947","579,740,570,176"
"2016-01-22","17,864,511,418","574,703,509,699","16,171,099","377,134,445","1,667,792,073","576,371,301,772"
"2016-01-25","16,889,289,523","573,053,955,612","16,201,169","377,897,322","1,696,416,297","574,750,371,909"
"2016-01-26","19,547,611,732","558,948,682,056","26,214,474","386,461,946","1,587,722,289","560,536,404,345"
"2016-01-27","19,749,649,503","546,309,759,767","21,792,114","371,387,521","1,610,207,999","547,919,967,766"
"2016-01-28","14,896,970,875","537,399,576,006","27,725,726","370,276,921","1,540,722,949","538,940,298,955"
"2016-01-29","18,426,533,048","533,033,638,244","22,432,638","357,231,158","1,535,234,350","534,568,872,594"
"2016-02-01","14,080,422,778","528,384,301,655","17,458,549","353,673,284","1,485,180,379","529,869,482,034"
"2016-02-02","17,563,888,365","528,845,887,864","17,212,053","349,593,177","1,511,792,608","530,357,680,472"
"2016-02-03","14,409,477,762","526,428,042,632","12,578,548","344,837,635","1,491,080,478","527,919,123,110"
"2016-02-04","18,541,568,615","524,337,017,843","17,319,810","338,921,731","1,482,084,171","525,819,102,014"
